Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
92:20:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:20:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:21:00:00,3,0,11:PRTD 1,-157.68674,
92:21:00:00,3,0,12:PRTD 2,-199.21117,
92:21:00:00,3,0,13:Ambient Temperature,27.20462,
92:21:00:00,3,0,14:LN2 Level,0.0,
92:21:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:21:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:21:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:22:00:00,3,0,11:PRTD 1,-157.70364,
92:22:00:00,3,0,12:PRTD 2,-199.18947,
92:22:00:00,3,0,13:Ambient Temperature,27.20462,
92:22:00:00,3,0,14:LN2 Level,0.0,
92:22:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:22:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:22:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:23:00:00,3,0,11:PRTD 1,-157.72057,
92:23:00:00,3,0,12:PRTD 2,-199.20032,
92:23:00:00,3,0,13:Ambient Temperature,26.592377,
92:23:00:00,3,0,14:LN2 Level,0.0,
92:23:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:23:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:23:00:00,3,1,16:Charge Loop DC Level,-0.4,
93:00:00:00,3,0,11:PRTD 1,-157.70929,
93:00:00:00,3,0,12:PRTD 2,-199.22202,
93:00:00:00,3,0,13:Ambient Temperature,27.00055,
93:00:00:00,3,0,14:LN2 Level,0.0,
93:00:00:00,3,1,15:AC Detector Leakage Current,-262.0,
93:00:00:00,3,1,73:DC Detector Leakage Current,0.0,
93:00:00:00,3,1,16:Charge Loop DC Level,-0.4,
